Time,LD_634/P1,LD_634/P2,LD_634/P3,LD_671/P1,LD_671/P2,LD_671/P3,LD_675/P1,LD_675/P2,LD_675/P3,LD_632/P1,LD_632/P2,LD_632/P3,LD_645/P1,LD_646/P1,LD_652/P1,LD_692/P1,LD_611/P1,LD_634/Q1,LD_634/Q2,LD_634/Q3,LD_671/Q1,LD_671/Q2,LD_671/Q3,LD_675/Q1,LD_675/Q2,LD_675/Q3,LD_632/Q1,LD_632/Q2,LD_632/Q3,LD_645/Q1,LD_646/Q1,LD_652/Q1,LD_692/Q1,LD_611/Q1
1,120.51,90.385,90.385,131.14,131.14,131.14,365.31,51.218,218.43,12.805,49.712,88.126,57.906,173.24,96.411,57.906,128.05,82.853,67.789,67.789,74.937,74.937,74.937,143.11,45.193,159.68,7.5321,28.622,51.218,42.578,99.424,64.776,51.434,60.257
2,120.02,90.016,90.016,134.73,134.73,134.73,363.81,51.009,217.54,12.752,49.509,87.765,59.492,172.53,96.017,59.492,127.52,82.514,67.512,67.512,76.99,76.99,76.99,142.52,45.008,159.03,7.5013,28.505,51.009,43.744,99.017,64.511,52.843,60.01
3,119.44,89.578,89.578,134.28,134.28,134.28,362.04,50.761,216.48,12.69,49.268,87.339,59.291,171.69,95.55,59.291,126.9,82.113,67.184,67.184,76.729,76.729,76.729,141.83,44.789,158.25,7.4648,28.366,50.761,43.596,98.536,64.198,52.664,59.719
4,118.85,89.14,89.14,134.34,134.34,134.34,360.28,50.513,215.42,12.628,49.027,86.912,59.318,170.85,95.083,59.318,126.28,81.712,66.855,66.855,76.765,76.765,76.765,141.14,44.57,157.48,7.4284,28.228,50.513,43.616,98.055,63.884,52.688,59.427
5,118.27,88.703,88.703,135.47,135.47,135.47,358.51,50.265,214.37,12.566,48.787,86.485,59.818,170.01,94.616,59.818,125.66,81.311,66.527,66.527,77.412,77.412,77.412,140.45,44.351,156.71,7.3919,28.089,50.265,43.984,97.573,63.57,53.133,59.135
6,117.69,88.265,88.265,141.75,141.75,141.75,356.74,50.017,213.31,12.504,48.546,86.059,62.591,169.17,94.15,62.591,125.04,80.91,66.199,66.199,81,81,81,139.75,44.133,155.94,7.3554,27.951,50.017,46.023,97.092,63.257,55.595,58.843
7,117.1,87.828,87.828,146.26,146.26,146.26,354.97,49.769,212.25,12.442,48.305,85.632,64.58,168.34,93.683,64.58,124.42,80.509,65.871,65.871,83.574,83.574,83.574,139.06,43.914,155.16,7.319,27.812,49.769,47.485,96.61,62.943,57.362,58.552
8,116.52,87.39,87.39,140.82,140.82,140.82,353.2,49.521,211.19,12.38,48.064,85.205,62.179,167.5,93.216,62.179,123.8,80.107,65.542,65.542,80.466,80.466,80.466,138.37,43.695,154.39,7.2825,27.673,49.521,45.72,96.129,62.629,55.229,58.26
9,115.94,86.952,86.952,140.52,140.52,140.52,351.43,49.273,210.13,12.318,47.824,84.779,62.048,166.66,92.749,62.048,123.18,79.706,65.214,65.214,80.297,80.297,80.297,137.67,43.476,153.62,7.246,27.535,49.273,45.623,95.648,62.316,55.113,57.968
10,115.91,86.932,86.932,139.98,139.98,139.98,351.35,49.262,210.09,12.315,47.813,84.759,61.808,166.62,92.728,61.808,123.15,79.688,65.199,65.199,79.987,79.987,79.987,137.64,43.466,153.58,7.2444,27.529,49.262,45.447,95.625,62.301,54.9,57.955
11,116.92,87.688,87.688,138.98,138.98,138.98,354.4,49.69,211.91,12.422,48.228,85.495,61.369,168.07,93.534,61.369,124.22,80.38,65.766,65.766,79.419,79.419,79.419,138.84,43.844,154.91,7.3073,27.768,49.69,45.124,96.456,62.843,54.51,58.458
12,117.92,88.443,88.443,131.26,131.26,131.26,357.46,50.118,213.74,12.529,48.644,86.232,57.959,169.52,94.339,57.959,125.29,81.073,66.332,66.332,75.006,75.006,75.006,140.03,44.222,156.25,7.3703,28.007,50.118,42.617,97.287,63.384,51.481,58.962
13,117.33,87.994,87.994,138.27,138.27,138.27,355.64,49.863,212.65,12.466,48.397,85.794,61.056,168.66,93.86,61.056,124.66,80.661,65.996,65.996,79.013,79.013,79.013,139.32,43.997,155.46,7.3328,27.865,49.863,44.894,96.794,63.062,54.232,58.663
14,116.51,87.386,87.386,137.88,137.88,137.88,353.19,49.519,211.18,12.38,48.062,85.202,60.882,167.49,93.212,60.882,123.8,80.104,65.54,65.54,78.789,78.789,78.789,138.36,43.693,154.38,7.2822,27.672,49.519,44.766,96.125,62.627,54.078,58.257
15,115.7,86.778,86.778,138.24,138.24,138.24,350.73,49.174,209.71,12.294,47.728,84.609,61.039,166.32,92.563,61.039,122.94,79.547,65.084,65.084,78.992,78.992,78.992,137.4,43.389,153.31,7.2315,27.48,49.174,44.882,95.456,62.191,54.217,57.852
16,115.26,86.443,86.443,131.95,131.95,131.95,349.37,48.984,208.9,12.246,47.543,84.282,58.264,165.68,92.206,58.264,122.46,79.239,64.832,64.832,75.401,75.401,75.401,136.87,43.221,152.72,7.2036,27.374,48.984,42.841,95.087,61.951,51.752,57.628
17,115.13,86.346,86.346,127.84,127.84,127.84,348.98,48.929,208.67,12.232,47.49,84.187,56.449,165.5,92.102,56.449,122.32,79.15,64.759,64.759,73.052,73.052,73.052,136.71,43.173,152.54,7.1955,27.343,48.929,41.507,94.98,61.881,50.14,57.564
18,115,86.248,86.248,122.73,122.73,122.73,348.59,48.874,208.43,12.219,47.437,84.092,54.192,165.31,91.998,54.192,122.19,79.061,64.686,64.686,70.131,70.131,70.131,136.56,43.124,152.37,7.1874,27.312,48.874,39.847,94.873,61.811,48.135,57.499
19,114.87,86.151,86.151,122.73,122.73,122.73,348.19,48.819,208.2,12.205,47.383,83.997,54.192,165.12,91.895,54.192,122.05,78.972,64.613,64.613,70.131,70.131,70.131,136.41,43.076,152.2,7.1793,27.281,48.819,39.847,94.766,61.742,48.135,57.434
20,114.74,86.054,86.054,123.46,123.46,123.46,347.8,48.764,207.96,12.191,47.33,83.903,54.516,164.94,91.791,54.516,121.91,78.883,64.541,64.541,70.55,70.55,70.55,136.25,43.027,152.03,7.1712,27.25,48.764,40.085,94.659,61.672,48.423,57.369
21,114.61,85.957,85.957,123.78,123.78,123.78,347.41,48.709,207.73,12.177,47.276,83.808,54.655,164.75,91.687,54.655,121.77,78.794,64.468,64.468,70.73,70.73,70.73,136.1,42.978,151.86,7.1631,27.22,48.709,40.187,94.552,61.602,48.546,57.305
22,114.48,85.86,85.86,128.28,128.28,128.28,347.02,48.654,207.49,12.163,47.223,83.713,56.643,164.56,91.584,56.643,121.63,78.705,64.395,64.395,73.303,73.303,73.303,135.94,42.93,151.69,7.155,27.189,48.654,41.649,94.446,61.533,50.312,57.24
23,114.35,85.762,85.762,135.42,135.42,135.42,346.62,48.599,207.26,12.15,47.169,83.618,59.796,164.38,91.48,59.796,121.5,78.616,64.322,64.322,77.383,77.383,77.383,135.79,42.881,151.51,7.1469,27.158,48.599,43.968,94.339,61.463,53.113,57.175
24,114.22,85.665,85.665,134.67,134.67,134.67,346.23,48.544,207.02,12.136,47.116,83.524,59.464,164.19,91.376,59.464,121.36,78.527,64.249,64.249,76.953,76.953,76.953,135.64,42.833,151.34,7.1388,27.127,48.544,43.723,94.232,61.393,52.818,57.11
25,114.09,85.568,85.568,134.92,134.92,134.92,345.84,48.489,206.79,12.122,47.062,83.429,59.575,164.01,91.273,59.575,121.22,78.437,64.176,64.176,77.097,77.097,77.097,135.48,42.784,151.17,7.1307,27.097,48.489,43.805,94.125,61.324,52.917,57.045
26,113.96,85.471,85.471,133.94,133.94,133.94,345.45,48.434,206.55,12.108,47.009,83.334,59.141,163.82,91.169,59.141,121.08,78.348,64.103,64.103,76.535,76.535,76.535,135.33,42.735,151,7.1226,27.066,48.434,43.486,94.018,61.254,52.531,56.981
27,113.83,85.374,85.374,130.16,130.16,130.16,345.05,48.378,206.32,12.095,46.956,83.239,57.472,163.63,91.065,57.472,120.95,78.259,64.03,64.03,74.376,74.376,74.376,135.18,42.687,150.83,7.1145,27.035,48.378,42.259,93.911,61.185,51.049,56.916
28,113.7,85.277,85.277,123.19,123.19,123.19,344.66,48.323,206.09,12.081,46.902,83.145,54.396,163.45,90.962,54.396,120.81,78.17,63.957,63.957,70.395,70.395,70.395,135.02,42.638,150.66,7.1064,27.004,48.323,39.997,93.804,61.115,48.317,56.851
29,113.57,85.179,85.179,124.49,124.49,124.49,344.27,48.268,205.85,12.067,46.849,83.05,54.972,163.26,90.858,54.972,120.67,78.081,63.885,63.885,71.14,71.14,71.14,134.87,42.59,150.48,7.0983,26.973,48.268,40.42,93.697,61.045,48.828,56.786
30,113.44,85.082,85.082,125.73,125.73,125.73,343.87,48.213,205.62,12.053,46.795,82.955,55.516,163.07,90.754,55.516,120.53,77.992,63.812,63.812,71.844,71.844,71.844,134.71,42.541,150.31,7.0902,26.943,48.213,40.82,93.59,60.976,49.311,56.721
31,113.31,84.985,84.985,125.68,125.68,125.68,343.48,48.158,205.38,12.04,46.742,82.86,55.496,162.89,90.651,55.496,120.4,77.903,63.739,63.739,71.818,71.818,71.818,134.56,42.493,150.14,7.0821,26.912,48.158,40.806,93.484,60.906,49.293,56.657
32,113.18,84.888,84.888,125.24,125.24,125.24,343.09,48.103,205.15,12.026,46.688,82.766,55.301,162.7,90.547,55.301,120.26,77.814,63.666,63.666,71.566,71.566,71.566,134.41,42.444,149.97,7.074,26.881,48.103,40.662,93.377,60.836,49.12,56.592
33,113.05,84.791,84.791,125.06,125.06,125.06,342.7,48.048,204.91,12.012,46.635,82.671,55.221,162.52,90.443,55.221,120.12,77.725,63.593,63.593,71.463,71.463,71.463,134.25,42.395,149.8,7.0659,26.85,48.048,40.604,93.27,60.767,49.049,56.527
34,113.08,84.808,84.808,125.47,125.47,125.47,342.77,48.058,204.95,12.014,46.644,82.688,55.404,162.55,90.462,55.404,120.14,77.741,63.606,63.606,71.699,71.699,71.699,134.28,42.404,149.83,7.0673,26.856,48.058,40.738,93.289,60.779,49.212,56.539
35,113.56,85.168,85.168,125.99,125.99,125.99,344.22,48.262,205.82,12.065,46.842,83.039,55.632,163.24,90.846,55.632,120.65,78.071,63.876,63.876,71.995,71.995,71.995,134.85,42.584,150.46,7.0973,26.97,48.262,40.906,93.685,61.037,49.415,56.779
36,114.04,85.528,85.528,125.19,125.19,125.19,345.68,48.466,206.69,12.116,47.04,83.39,55.279,163.93,91.23,55.279,121.16,78.401,64.146,64.146,71.538,71.538,71.538,135.42,42.764,151.1,7.1273,27.084,48.466,40.646,94.081,61.295,49.101,57.019
37,114.52,85.888,85.888,125.16,125.16,125.16,347.13,48.67,207.56,12.168,47.239,83.741,55.267,164.62,91.614,55.267,121.68,78.731,64.416,64.416,71.522,71.522,71.522,135.99,42.944,151.74,7.1574,27.198,48.67,40.638,94.477,61.553,49.09,57.259
38,115,86.248,86.248,126.26,126.26,126.26,348.59,48.874,208.43,12.219,47.437,84.092,55.75,165.31,91.998,55.75,122.19,79.061,64.686,64.686,72.147,72.147,72.147,136.56,43.124,152.37,7.1874,27.312,48.874,40.993,94.873,61.811,49.519,57.499
39,115.19,86.395,86.395,125.26,125.26,125.26,349.18,48.957,208.79,12.239,47.517,84.235,55.309,165.59,92.155,55.309,122.39,79.195,64.796,64.796,71.576,71.576,71.576,136.79,43.197,152.63,7.1996,27.358,48.957,40.668,95.034,61.916,49.127,57.597
40,114.77,86.08,86.08,125.88,125.88,125.88,347.91,48.779,208.03,12.195,47.344,83.928,55.584,164.99,91.819,55.584,121.95,78.907,64.56,64.56,71.932,71.932,71.932,136.29,43.04,152.08,7.1734,27.259,48.779,40.87,94.689,61.691,49.372,57.387
41,114.35,85.766,85.766,130.81,130.81,130.81,346.64,48.601,207.27,12.15,47.171,83.622,57.759,164.38,91.484,57.759,121.5,78.619,64.325,64.325,74.746,74.746,74.746,135.8,42.883,151.52,7.1472,27.159,48.601,42.47,94.343,61.466,51.303,57.177
42,113.94,85.452,85.452,137.03,137.03,137.03,345.37,48.423,206.51,12.106,46.998,83.315,60.507,163.78,91.148,60.507,121.06,78.331,64.089,64.089,78.303,78.303,78.303,135.3,42.726,150.96,7.121,27.06,48.423,44.491,93.997,61.24,53.745,56.968
43,113.52,85.137,85.137,137.16,137.16,137.16,344.1,48.244,205.75,12.061,46.825,83.009,60.566,163.18,90.813,60.566,120.61,78.042,63.853,63.853,78.379,78.379,78.379,134.8,42.569,150.41,7.0948,26.96,48.244,44.533,93.651,61.015,53.796,56.758
44,113.1,84.823,84.823,135.79,135.79,135.79,342.82,48.066,204.99,12.017,46.652,82.702,59.96,162.58,90.477,59.96,120.17,77.754,63.617,63.617,77.596,77.596,77.596,134.3,42.411,149.85,7.0686,26.861,48.066,44.088,93.305,60.79,53.259,56.548
45,112.88,84.661,84.661,136.42,136.42,136.42,342.17,47.974,204.6,11.994,46.563,82.544,60.238,162.27,90.305,60.238,119.94,77.606,63.495,63.495,77.955,77.955,77.955,134.05,42.33,149.57,7.0551,26.809,47.974,44.293,93.127,60.673,53.505,56.44
46,112.77,84.575,84.575,135.57,135.57,135.57,341.82,47.926,204.39,11.981,46.516,82.46,59.864,162.1,90.213,59.864,119.81,77.527,63.431,63.431,77.471,77.471,77.471,133.91,42.287,149.42,7.0479,26.782,47.926,44.017,93.032,60.612,53.173,56.383
47,112.65,84.489,84.489,128.82,128.82,128.82,341.48,47.877,204.18,11.969,46.469,82.377,56.881,161.94,90.122,56.881,119.69,77.448,63.367,63.367,73.611,73.611,73.611,133.77,42.245,149.26,7.0408,26.755,47.877,41.824,92.938,60.55,50.524,56.326
48,112.54,84.403,84.403,126.26,126.26,126.26,341.13,47.829,203.97,11.957,46.422,82.293,55.75,161.77,90.03,55.75,119.57,77.37,63.302,63.302,72.147,72.147,72.147,133.64,42.202,149.11,7.0336,26.728,47.829,40.992,92.844,60.489,49.519,56.269
49,112.42,84.317,84.317,125.85,125.85,125.85,340.78,47.78,203.77,11.945,46.375,82.21,55.57,161.61,89.939,55.57,119.45,77.291,63.238,63.238,71.914,71.914,71.914,133.5,42.159,148.96,7.0265,26.701,47.78,40.86,92.749,60.427,49.359,56.212
50,112.31,84.232,84.232,126.17,126.17,126.17,340.44,47.731,203.56,11.933,46.327,82.126,55.71,161.44,89.847,55.71,119.33,77.212,63.174,63.174,72.096,72.096,72.096,133.37,42.116,148.81,7.0193,26.673,47.731,40.964,92.655,60.366,49.484,56.154
51,112.19,84.146,84.146,126.51,126.51,126.51,340.09,47.683,203.35,11.921,46.28,82.042,55.863,161.28,89.756,55.863,119.21,77.134,63.109,63.109,72.294,72.294,72.294,133.23,42.073,148.66,7.0122,26.646,47.683,41.076,92.56,60.305,49.62,56.097
52,112.08,84.06,84.06,126.04,126.04,126.04,339.74,47.634,203.15,11.909,46.233,81.959,55.654,161.12,89.664,55.654,119.09,77.055,63.045,63.045,72.023,72.023,72.023,133.1,42.03,148.51,7.005,26.619,47.634,40.922,92.466,60.243,49.434,56.04
53,111.97,83.974,83.974,129.42,129.42,129.42,339.4,47.585,202.94,11.896,46.186,81.875,57.148,160.95,89.573,57.148,118.96,76.976,62.981,62.981,73.956,73.956,73.956,132.96,41.987,148.35,6.9979,26.592,47.585,42.02,92.372,60.182,50.761,55.983
54,111.85,83.888,83.888,141.12,141.12,141.12,339.05,47.537,202.73,11.884,46.139,81.791,62.311,160.79,89.481,62.311,118.84,76.898,62.916,62.916,80.638,80.638,80.638,132.82,41.944,148.2,6.9907,26.565,47.537,45.817,92.277,60.12,55.347,55.926
55,111.74,83.803,83.803,141.28,141.28,141.28,338.7,47.488,202.52,11.872,46.091,81.708,62.385,160.62,89.389,62.385,118.72,76.819,62.852,62.852,80.733,80.733,80.733,132.69,41.901,148.05,6.9836,26.538,47.488,45.871,92.183,60.059,55.412,55.868
56,111.62,83.717,83.717,142.43,142.43,142.43,338.36,47.44,202.32,11.86,46.044,81.624,62.89,160.46,89.298,62.89,118.6,76.74,62.788,62.788,81.387,81.387,81.387,132.55,41.858,147.9,6.9764,26.51,47.44,46.243,92.089,59.997,55.861,55.811
57,111.51,83.631,83.631,141.53,141.53,141.53,338.01,47.391,202.11,11.848,45.997,81.54,62.494,160.29,89.206,62.494,118.48,76.662,62.723,62.723,80.875,80.875,80.875,132.42,41.816,147.75,6.9693,26.483,47.391,45.952,91.994,59.936,55.509,55.754
58,111.39,83.545,83.545,140.37,140.37,140.37,337.66,47.342,201.9,11.836,45.95,81.457,61.98,160.13,89.115,61.98,118.36,76.583,62.659,62.659,80.209,80.209,80.209,132.28,41.773,147.6,6.9621,26.456,47.342,45.573,91.9,59.874,55.052,55.697
59,111.28,83.459,83.459,135.1,135.1,135.1,337.32,47.294,201.69,11.823,45.903,81.373,59.654,159.96,89.023,59.654,118.23,76.504,62.595,62.595,77.199,77.199,77.199,132.14,41.73,147.45,6.955,26.429,47.294,43.863,91.805,59.813,52.986,55.64
60,111.16,83.374,83.374,130.09,130.09,130.09,336.97,47.245,201.49,11.811,45.856,81.289,57.442,159.8,88.932,57.442,118.11,76.426,62.53,62.53,74.337,74.337,74.337,132.01,41.687,147.29,6.9478,26.402,47.245,42.237,91.711,59.751,51.022,55.582
61,111.05,83.288,83.288,130.43,130.43,130.43,336.62,47.196,201.28,11.799,45.808,81.206,57.59,159.64,88.84,57.59,117.99,76.347,62.466,62.466,74.529,74.529,74.529,131.87,41.644,147.14,6.9407,26.374,47.196,42.346,91.617,59.69,51.154,55.525
62,110.94,83.202,83.202,130.18,130.18,130.18,336.27,47.148,201.07,11.787,45.761,81.122,57.48,159.47,88.749,57.48,117.87,76.269,62.402,62.402,74.386,74.386,74.386,131.74,41.601,146.99,6.9335,26.347,47.148,42.265,91.522,59.628,51.056,55.468
63,110.82,83.116,83.116,137.82,137.82,137.82,335.93,47.099,200.86,11.775,45.714,81.038,60.854,159.31,88.657,60.854,117.75,76.19,62.337,62.337,78.752,78.752,78.752,131.6,41.558,146.84,6.9264,26.32,47.099,44.745,91.428,59.567,54.052,55.411
64,110.71,83.03,83.03,140.25,140.25,140.25,335.58,47.051,200.66,11.763,45.667,80.955,61.928,159.14,88.566,61.928,117.63,76.111,62.273,62.273,80.142,80.142,80.142,131.46,41.515,146.69,6.9192,26.293,47.051,45.535,91.334,59.505,55.006,55.354
65,110.59,82.945,82.945,138.83,138.83,138.83,335.23,47.002,200.45,11.75,45.62,80.871,61.303,158.98,88.474,61.303,117.5,76.033,62.208,62.208,79.333,79.333,79.333,131.33,41.472,146.54,6.9121,26.266,47.002,45.076,91.239,59.444,54.452,55.296
66,110.48,82.859,82.859,133.63,133.63,133.63,334.89,46.953,200.24,11.738,45.572,80.787,59.005,158.81,88.383,59.005,117.38,75.954,62.144,62.144,76.36,76.36,76.36,131.19,41.429,146.38,6.9049,26.239,46.953,43.386,91.145,59.382,52.411,55.239
67,110.36,82.773,82.773,129.32,129.32,129.32,334.54,46.905,200.03,11.726,45.525,80.704,57.102,158.65,88.291,57.102,117.26,75.875,62.08,62.08,73.897,73.897,73.897,131.06,41.387,146.23,6.8978,26.211,46.905,41.987,91.05,59.321,50.72,55.182
68,110.25,82.687,82.687,130.15,130.15,130.15,334.19,46.856,199.83,11.714,45.478,80.62,57.468,158.48,88.2,57.468,117.14,75.797,62.015,62.015,74.371,74.371,74.371,130.92,41.344,146.08,6.8906,26.184,46.856,42.256,90.956,59.259,51.046,55.125
69,110.14,82.601,82.601,129.66,129.66,129.66,333.85,46.807,199.62,11.702,45.431,80.536,57.254,158.32,88.108,57.254,117.02,75.718,61.951,61.951,74.094,74.094,74.094,130.79,41.301,145.93,6.8835,26.157,46.807,42.099,90.862,59.198,50.855,55.068
70,110.02,82.516,82.516,122.75,122.75,122.75,333.5,46.759,199.41,11.69,45.384,80.453,54.202,158.16,88.017,54.202,116.9,75.639,61.887,61.887,70.144,70.144,70.144,130.65,41.258,145.78,6.8763,26.13,46.759,39.855,90.767,59.136,48.145,55.01
71,109.91,82.43,82.43,122.67,122.67,122.67,333.15,46.71,199.21,11.678,45.336,80.369,54.165,157.99,87.925,54.165,116.78,75.561,61.822,61.822,70.096,70.096,70.096,130.51,41.215,145.63,6.8692,26.103,46.71,39.827,90.673,59.075,48.111,54.953
72,109.79,82.344,82.344,124.31,124.31,124.31,332.81,46.662,199,11.665,45.289,80.285,54.892,157.83,87.834,54.892,116.65,75.482,61.758,61.758,71.037,71.037,71.037,130.38,41.172,145.47,6.862,26.076,46.662,40.362,90.578,59.013,48.757,54.896
73,109.68,82.258,82.258,134.15,134.15,134.15,332.46,46.613,198.79,11.653,45.242,80.202,59.235,157.66,87.742,59.235,116.53,75.403,61.694,61.694,76.657,76.657,76.657,130.24,41.129,145.32,6.8549,26.048,46.613,43.555,90.484,58.952,52.615,54.839
74,109.56,82.172,82.172,139.49,139.49,139.49,332.11,46.564,198.58,11.641,45.195,80.118,61.591,157.5,87.651,61.591,116.41,75.325,61.629,61.629,79.706,79.706,79.706,130.11,41.086,145.17,6.8477,26.021,46.564,45.287,90.39,58.89,54.707,54.782
75,109.45,82.087,82.087,139.44,139.44,139.44,331.77,46.516,198.38,11.629,45.148,80.034,61.573,157.33,87.559,61.573,116.29,75.246,61.565,61.565,79.683,79.683,79.683,129.97,41.043,145.02,6.8406,25.994,46.516,45.274,90.295,58.829,54.691,54.724
76,109.33,82.001,82.001,139.19,139.19,139.19,331.42,46.467,198.17,11.617,45.1,79.951,61.459,157.17,87.468,61.459,116.17,75.167,61.501,61.501,79.535,79.535,79.535,129.83,41,144.87,6.8334,25.967,46.467,45.19,90.201,58.767,54.59,54.667
77,109.22,81.915,81.915,139.37,139.37,139.37,331.07,46.419,197.96,11.605,45.053,79.867,61.54,157,87.376,61.54,116.05,75.089,61.436,61.436,79.639,79.639,79.639,129.7,40.958,144.72,6.8263,25.94,46.419,45.25,90.107,58.706,54.662,54.61
78,109.11,81.829,81.829,132.82,132.82,132.82,330.73,46.37,197.75,11.592,45.006,79.784,58.648,156.84,87.285,58.648,115.92,75.01,61.372,61.372,75.897,75.897,75.897,129.56,40.915,144.57,6.8191,25.913,46.37,43.123,90.012,58.644,52.093,54.553
79,108.99,81.743,81.743,127.89,127.89,127.89,330.38,46.321,197.55,11.58,44.959,79.7,56.472,156.67,87.193,56.472,115.8,74.932,61.308,61.308,73.082,73.082,73.082,129.43,40.872,144.41,6.812,25.885,46.321,41.524,89.918,58.583,50.161,54.496
80,108.88,81.658,81.658,128.07,128.07,128.07,330.03,46.273,197.34,11.568,44.912,79.616,56.551,156.51,87.102,56.551,115.68,74.853,61.243,61.243,73.184,73.184,73.184,129.29,40.829,144.26,6.8048,25.858,46.273,41.582,89.823,58.521,50.231,54.438
81,108.76,81.572,81.572,128.5,128.5,128.5,329.69,46.224,197.13,11.556,44.865,79.533,56.739,156.35,87.01,56.739,115.56,74.774,61.179,61.179,73.427,73.427,73.427,129.16,40.786,144.11,6.7977,25.831,46.224,41.72,89.729,58.46,50.397,54.381
82,108.65,81.486,81.486,128.18,128.18,128.18,329.34,46.175,196.92,11.544,44.817,79.449,56.6,156.18,86.918,56.6,115.44,74.696,61.115,61.115,73.246,73.246,73.246,129.02,40.743,143.96,6.7905,25.804,46.175,41.617,89.635,58.398,50.274,54.324
83,108.53,81.4,81.4,130.66,130.66,130.66,328.99,46.127,196.72,11.532,44.77,79.365,57.696,156.02,86.827,57.696,115.32,74.617,61.05,61.05,74.665,74.665,74.665,128.88,40.7,143.81,6.7834,25.777,46.127,42.424,89.54,58.337,51.248,54.267
84,108.42,81.314,81.314,165.8,165.8,165.8,328.65,46.078,196.51,11.52,44.723,79.282,73.211,155.85,86.735,73.211,115.2,74.538,60.986,60.986,94.744,94.744,94.744,128.75,40.657,143.66,6.7762,25.75,46.078,53.832,89.446,58.275,65.029,54.21
85,108.7,81.523,81.523,174.52,174.52,174.52,329.49,46.196,197.01,11.549,44.838,79.485,77.059,156.25,86.958,77.059,115.49,74.729,61.142,61.142,99.723,99.723,99.723,129.08,40.761,144.02,6.7936,25.816,46.196,56.661,89.675,58.425,68.446,54.349
86,109.09,81.821,81.821,174.27,174.27,174.27,330.69,46.365,197.73,11.591,45.002,79.775,76.949,156.82,87.276,76.949,115.91,75.003,61.366,61.366,99.581,99.581,99.581,129.55,40.91,144.55,6.8184,25.91,46.365,56.58,90.003,58.638,68.349,54.547
87,109.49,82.119,82.119,174.26,174.26,174.26,331.9,46.534,198.45,11.634,45.165,80.066,76.946,157.39,87.594,76.946,116.34,75.276,61.589,61.589,99.577,99.577,99.577,130.02,41.059,145.08,6.8432,26.004,46.534,56.578,90.331,58.852,68.346,54.746
88,109.89,82.417,82.417,174.16,174.16,174.16,333.1,46.703,199.17,11.676,45.329,80.356,76.9,157.97,87.911,76.9,116.76,75.549,61.813,61.813,99.518,99.518,99.518,130.49,41.208,145.6,6.8681,26.099,46.703,56.544,90.659,59.065,68.305,54.945
89,110.29,82.715,82.715,164.51,164.51,164.51,334.31,46.872,199.89,11.718,45.493,80.647,72.642,158.54,88.229,72.642,117.18,75.822,62.036,62.036,94.007,94.007,94.007,130.97,41.357,146.13,6.8929,26.193,46.872,53.413,90.986,59.279,64.523,55.143
90,110.68,83.013,83.013,156.85,156.85,156.85,335.51,47.041,200.61,11.76,45.657,80.938,69.26,159.11,88.547,69.26,117.6,76.095,62.26,62.26,89.63,89.63,89.63,131.44,41.506,146.66,6.9177,26.287,47.041,50.926,91.314,59.493,61.519,55.342
91,110.03,82.523,82.523,156.47,156.47,156.47,333.53,46.763,199.43,11.691,45.388,80.46,69.091,158.17,88.025,69.091,116.91,75.647,61.893,61.893,89.412,89.412,89.412,130.66,41.262,145.79,6.877,26.132,46.763,50.802,90.776,59.142,61.369,55.016
92,109.32,81.993,81.993,155.69,155.69,155.69,331.39,46.462,198.15,11.616,45.096,79.943,68.748,157.15,87.459,68.748,116.16,75.16,61.494,61.494,88.968,88.968,88.968,129.82,40.996,144.85,6.8327,25.964,46.462,50.55,90.192,58.761,61.064,54.662
93,108.62,81.462,81.462,155.74,155.74,155.74,329.24,46.162,196.87,11.54,44.804,79.425,68.767,156.13,86.892,68.767,115.4,74.673,61.096,61.096,88.992,88.992,88.992,128.98,40.731,143.92,6.7885,25.796,46.162,50.564,89.608,58.381,61.081,54.308
94,108.31,81.233,81.233,155.87,155.87,155.87,328.31,46.032,196.31,11.508,44.678,79.202,68.826,155.7,86.648,68.826,115.08,74.463,60.924,60.924,89.069,89.069,89.069,128.62,40.616,143.51,6.7694,25.724,46.032,50.607,89.356,58.217,61.134,54.155
95,108.13,81.095,81.095,157.13,157.13,157.13,327.76,45.954,195.98,11.488,44.602,79.068,69.383,155.43,86.502,69.383,114.88,74.337,60.821,60.821,89.789,89.789,89.789,128.4,40.548,143.27,6.7579,25.68,45.954,51.017,89.205,58.118,61.628,54.063
96,107.94,80.958,80.958,159.5,159.5,159.5,327.2,45.876,195.65,11.469,44.527,78.934,70.429,155.17,86.355,70.429,114.69,74.211,60.718,60.718,91.143,91.143,91.143,128.18,40.479,143.03,6.7465,25.637,45.876,51.786,89.054,58.02,62.557,53.972
97,107.76,80.821,80.821,163.63,163.63,163.63,326.65,45.798,195.32,11.45,44.451,78.8,72.253,154.91,86.209,72.253,114.5,74.086,60.615,60.615,93.503,93.503,93.503,127.97,40.41,142.78,6.735,25.593,45.798,53.127,88.903,57.921,64.177,53.88
98,107.58,80.683,80.683,163.56,163.56,163.56,326.09,45.721,194.98,11.43,44.376,78.666,72.221,154.64,86.062,72.221,114.3,73.96,60.512,60.512,93.462,93.462,93.462,127.75,40.342,142.54,6.7236,25.55,45.721,53.103,88.752,57.823,64.149,53.789
