Time,LD_1/P1,LD_2/P1,LD_4/P1,LD_5/P1,LD_6/P1,LD_7/P1,LD_9/P1,LD_10/P1,LD_11/P1,LD_12/P1,LD_16/P1,LD_17/P1,LD_19/P1,LD_20/P1,LD_22/P1,LD_24/P1,LD_28/P1,LD_29/P1,LD_30/P1,LD_31/P1,LD_32/P1,LD_33/P1,LD_34/P1,LD_35/P1,LD_37/P1,LD_38/P1,LD_39/P1,LD_41/P1,LD_42/P1,LD_43/P1,LD_45/P1,LD_46/P1,LD_47/P1,LD_47/P2,LD_47/P3,LD_48/P1,LD_48/P2,LD_48/P3,LD_49/P1,LD_49/P2,LD_49/P3,LD_50/P1,LD_51/P1,LD_52/P1,LD_53/P1,LD_55/P1,LD_56/P1,LD_58/P1,LD_59/P1,LD_60/P1,LD_62/P1,LD_63/P1,LD_64/P1,LD_65/P1,LD_65/P2,LD_65/P3,LD_66/P1,LD_68/P1,LD_69/P1,LD_70/P1,LD_71/P1,LD_73/P1,LD_74/P1,LD_75/P1,LD_76/P1,LD_76/P2,LD_76/P3,LD_77/P1,LD_79/P1,LD_80/P1,LD_82/P1,LD_83/P1,LD_84/P1,LD_85/P1,LD_86/P1,LD_87/P1,LD_88/P1,LD_90/P1,LD_92/P1,LD_94/P1,LD_95/P1,LD_96/P1,LD_98/P1,LD_99/P1,LD_100/P1,LD_102/P1,LD_103/P1,LD_104/P1,LD_106/P1,LD_107/P1,LD_109/P1,LD_111/P1,LD_112/P1,LD_113/P1,LD_114/P1,LD_1/Q1,LD_2/Q1,LD_4/Q1,LD_5/Q1,LD_6/Q1,LD_7/Q1,LD_9/Q1,LD_10/Q1,LD_11/Q1,LD_12/Q1,LD_16/Q1,LD_17/Q1,LD_19/Q1,LD_20/Q1,LD_22/Q1,LD_24/Q1,LD_28/Q1,LD_29/Q1,LD_30/Q1,LD_31/Q1,LD_32/Q1,LD_33/Q1,LD_34/Q1,LD_35/Q1,LD_37/Q1,LD_38/Q1,LD_39/Q1,LD_41/Q1,LD_42/Q1,LD_43/Q1,LD_45/Q1,LD_46/Q1,LD_47/Q1,LD_47/Q2,LD_47/Q3,LD_48/Q1,LD_48/Q2,LD_48/Q3,LD_49/Q1,LD_49/Q2,LD_49/Q3,LD_50/Q1,LD_51/Q1,LD_52/Q1,LD_53/Q1,LD_55/Q1,LD_56/Q1,LD_58/Q1,LD_59/Q1,LD_60/Q1,LD_62/Q1,LD_63/Q1,LD_64/Q1,LD_65/Q1,LD_65/Q2,LD_65/Q3,LD_66/Q1,LD_68/Q1,LD_69/Q1,LD_70/Q1,LD_71/Q1,LD_73/Q1,LD_74/Q1,LD_75/Q1,LD_76/Q1,LD_76/Q2,LD_76/Q3,LD_77/Q1,LD_79/Q1,LD_80/Q1,LD_82/Q1,LD_83/Q1,LD_84/Q1,LD_85/Q1,LD_86/Q1,LD_87/Q1,LD_88/Q1,LD_90/Q1,LD_92/Q1,LD_94/Q1,LD_95/Q1,LD_96/Q1,LD_98/Q1,LD_99/Q1,LD_100/Q1,LD_102/Q1,LD_103/Q1,LD_104/Q1,LD_106/Q1,LD_107/Q1,LD_109/Q1,LD_111/Q1,LD_112/Q1,LD_113/Q1,LD_114/Q1
411,5.885,1.3732,5.885,2.9425,2.7464,2.9425,5.885,1.3732,5.885,2.9425,2.7464,2.9425,5.885,2.7464,5.885,5.885,2.7464,5.885,5.885,1.3732,2.9425,5.885,2.7464,5.885,5.885,1.3732,2.9425,2.9425,1.3732,5.885,2.9425,1.3732,5.1494,5.1494,5.1494,10.299,10.299,10.299,2.4031,4.8062,2.4031,5.885,2.9425,2.7464,5.885,2.9425,1.3732,2.9425,2.9425,1.3732,5.885,5.885,5.1495,5.1494,5.1494,10.299,11.034,1.3732,5.885,2.9425,2.7464,5.885,5.885,2.7464,15.448,10.299,10.299,5.885,2.7464,5.885,5.885,1.3732,2.9425,5.885,1.3732,5.885,5.885,2.7464,5.885,5.885,1.3732,2.9425,5.885,2.7464,5.885,2.9425,2.7464,5.885,5.885,2.7464,5.885,2.9425,1.3732,5.885,2.9425,4.202,1.3163,4.202,2.101,2.6326,2.101,4.202,1.3163,4.202,2.101,2.6326,2.101,4.202,2.6326,4.202,4.202,2.6326,4.202,4.202,1.3163,2.101,4.202,2.6326,4.202,4.202,1.3163,2.101,2.101,1.3163,4.202,2.101,1.3163,5.2525,5.2525,5.2525,10.505,10.505,10.505,3.2908,6.5816,2.6326,4.202,2.101,2.6326,4.202,2.101,1.3163,2.101,2.101,1.3163,4.202,4.202,4.6071,5.2525,5.2525,10.505,7.3534,1.3163,4.202,2.101,2.6326,4.202,4.202,2.6326,16.808,10.505,10.505,4.202,2.6326,4.202,4.202,1.3163,2.101,4.202,1.3163,4.202,4.202,2.6326,4.202,4.202,1.3163,2.101,4.202,2.6326,4.202,2.101,2.6326,4.202,4.202,2.6326,4.202,2.101,1.3163,4.202,2.101
412,5.8176,1.3298,5.8176,2.9088,2.6597,2.9088,5.8176,1.3298,5.8176,2.9088,2.6597,2.9088,5.8176,2.6597,5.8176,5.8176,2.6597,5.8176,5.8176,1.3298,2.9088,5.8176,2.6597,5.8176,5.8176,1.3298,2.9088,2.9088,1.3298,5.8176,2.9088,1.3298,5.0904,5.0904,5.0904,10.181,10.181,10.181,2.3272,4.6544,2.3272,5.8176,2.9088,2.6597,5.8176,2.9088,1.3298,2.9088,2.9088,1.3298,5.8176,5.8176,4.9869,5.0904,5.0904,10.181,10.908,1.3298,5.8176,2.9088,2.6597,5.8176,5.8176,2.6597,15.271,10.181,10.181,5.8176,2.6597,5.8176,5.8176,1.3298,2.9088,5.8176,1.3298,5.8176,5.8176,2.6597,5.8176,5.8176,1.3298,2.9088,5.8176,2.6597,5.8176,2.9088,2.6597,5.8176,5.8176,2.6597,5.8176,2.9088,1.3298,5.8176,2.9088,4.1891,1.3051,4.1891,2.0946,2.6102,2.0946,4.1891,1.3051,4.1891,2.0946,2.6102,2.0946,4.1891,2.6102,4.1891,4.1891,2.6102,4.1891,4.1891,1.3051,2.0946,4.1891,2.6102,4.1891,4.1891,1.3051,2.0946,2.0946,1.3051,4.1891,2.0946,1.3051,5.2364,5.2364,5.2364,10.473,10.473,10.473,3.2627,6.5255,2.6102,4.1891,2.0946,2.6102,4.1891,2.0946,1.3051,2.0946,2.0946,1.3051,4.1891,4.1891,4.5678,5.2364,5.2364,10.473,7.331,1.3051,4.1891,2.0946,2.6102,4.1891,4.1891,2.6102,16.757,10.473,10.473,4.1891,2.6102,4.1891,4.1891,1.3051,2.0946,4.1891,1.3051,4.1891,4.1891,2.6102,4.1891,4.1891,1.3051,2.0946,4.1891,2.6102,4.1891,2.0946,2.6102,4.1891,4.1891,2.6102,4.1891,2.0946,1.3051,4.1891,2.0946
413,5.6316,1.2491,5.6316,2.8158,2.4981,2.8158,5.6316,1.2491,5.6316,2.8158,2.4981,2.8158,5.6316,2.4981,5.6316,5.6316,2.4981,5.6316,5.6316,1.2491,2.8158,5.6316,2.4981,5.6316,5.6316,1.2491,2.8158,2.8158,1.2491,5.6316,2.8158,1.2491,4.9276,4.9276,4.9276,9.8553,9.8553,9.8553,2.1858,4.3717,2.1858,5.6316,2.8158,2.4981,5.6316,2.8158,1.2491,2.8158,2.8158,1.2491,5.6316,5.6316,4.6839,4.9276,4.9276,9.8553,10.559,1.2491,5.6316,2.8158,2.4981,5.6316,5.6316,2.4981,14.783,9.8553,9.8553,5.6316,2.4981,5.6316,5.6316,1.2491,2.8158,5.6316,1.2491,5.6316,5.6316,2.4981,5.6316,5.6316,1.2491,2.8158,5.6316,2.4981,5.6316,2.8158,2.4981,5.6316,5.6316,2.4981,5.6316,2.8158,1.2491,5.6316,2.8158,4.1171,1.2752,4.1171,2.0585,2.5503,2.0585,4.1171,1.2752,4.1171,2.0585,2.5503,2.0585,4.1171,2.5503,4.1171,4.1171,2.5503,4.1171,4.1171,1.2752,2.0585,4.1171,2.5503,4.1171,4.1171,1.2752,2.0585,2.0585,1.2752,4.1171,2.0585,1.2752,5.1463,5.1463,5.1463,10.293,10.293,10.293,3.1879,6.3758,2.5503,4.1171,2.0585,2.5503,4.1171,2.0585,1.2752,2.0585,2.0585,1.2752,4.1171,4.1171,4.4631,5.1463,5.1463,10.293,7.2049,1.2752,4.1171,2.0585,2.5503,4.1171,4.1171,2.5503,16.468,10.293,10.293,4.1171,2.5503,4.1171,4.1171,1.2752,2.0585,4.1171,1.2752,4.1171,4.1171,2.5503,4.1171,4.1171,1.2752,2.0585,4.1171,2.5503,4.1171,2.0585,2.5503,4.1171,4.1171,2.5503,4.1171,2.0585,1.2752,4.1171,2.0585
414,5.6346,1.2288,5.6346,2.8173,2.4576,2.8173,5.6346,1.2288,5.6346,2.8173,2.4576,2.8173,5.6346,2.4576,5.6346,5.6346,2.4576,5.6346,5.6346,1.2288,2.8173,5.6346,2.4576,5.6346,5.6346,1.2288,2.8173,2.8173,1.2288,5.6346,2.8173,1.2288,4.9303,4.9303,4.9303,9.8605,9.8605,9.8605,2.1504,4.3009,2.1504,5.6346,2.8173,2.4576,5.6346,2.8173,1.2288,2.8173,2.8173,1.2288,5.6346,5.6346,4.6081,4.9303,4.9303,9.8605,10.565,1.2288,5.6346,2.8173,2.4576,5.6346,5.6346,2.4576,14.791,9.8605,9.8605,5.6346,2.4576,5.6346,5.6346,1.2288,2.8173,5.6346,1.2288,5.6346,5.6346,2.4576,5.6346,5.6346,1.2288,2.8173,5.6346,2.4576,5.6346,2.8173,2.4576,5.6346,5.6346,2.4576,5.6346,2.8173,1.2288,5.6346,2.8173,4.1395,1.2755,4.1395,2.0697,2.551,2.0697,4.1395,1.2755,4.1395,2.0697,2.551,2.0697,4.1395,2.551,4.1395,4.1395,2.551,4.1395,4.1395,1.2755,2.0697,4.1395,2.551,4.1395,4.1395,1.2755,2.0697,2.0697,1.2755,4.1395,2.0697,1.2755,5.1744,5.1744,5.1744,10.349,10.349,10.349,3.1888,6.3775,2.551,4.1395,2.0697,2.551,4.1395,2.0697,1.2755,2.0697,2.0697,1.2755,4.1395,4.1395,4.4643,5.1744,5.1744,10.349,7.2441,1.2755,4.1395,2.0697,2.551,4.1395,4.1395,2.551,16.558,10.349,10.349,4.1395,2.551,4.1395,4.1395,1.2755,2.0697,4.1395,1.2755,4.1395,4.1395,2.551,4.1395,4.1395,1.2755,2.0697,4.1395,2.551,4.1395,2.0697,2.551,4.1395,4.1395,2.551,4.1395,2.0697,1.2755,4.1395,2.0697
415,5.6376,1.2123,5.6376,2.8188,2.4246,2.8188,5.6376,1.2123,5.6376,2.8188,2.4246,2.8188,5.6376,2.4246,5.6376,5.6376,2.4246,5.6376,5.6376,1.2123,2.8188,5.6376,2.4246,5.6376,5.6376,1.2123,2.8188,2.8188,1.2123,5.6376,2.8188,1.2123,4.9329,4.9329,4.9329,9.8658,9.8658,9.8658,2.1215,4.2431,2.1215,5.6376,2.8188,2.4246,5.6376,2.8188,1.2123,2.8188,2.8188,1.2123,5.6376,5.6376,4.5461,4.9329,4.9329,9.8658,10.57,1.2123,5.6376,2.8188,2.4246,5.6376,5.6376,2.4246,14.799,9.8658,9.8658,5.6376,2.4246,5.6376,5.6376,1.2123,2.8188,5.6376,1.2123,5.6376,5.6376,2.4246,5.6376,5.6376,1.2123,2.8188,5.6376,2.4246,5.6376,2.8188,2.4246,5.6376,5.6376,2.4246,5.6376,2.8188,1.2123,5.6376,2.8188,4.1619,1.2777,4.1619,2.0809,2.5554,2.0809,4.1619,1.2777,4.1619,2.0809,2.5554,2.0809,4.1619,2.5554,4.1619,4.1619,2.5554,4.1619,4.1619,1.2777,2.0809,4.1619,2.5554,4.1619,4.1619,1.2777,2.0809,2.0809,1.2777,4.1619,2.0809,1.2777,5.2024,5.2024,5.2024,10.405,10.405,10.405,3.1943,6.3885,2.5554,4.1619,2.0809,2.5554,4.1619,2.0809,1.2777,2.0809,2.0809,1.2777,4.1619,4.1619,4.472,5.2024,5.2024,10.405,7.2833,1.2777,4.1619,2.0809,2.5554,4.1619,4.1619,2.5554,16.648,10.405,10.405,4.1619,2.5554,4.1619,4.1619,1.2777,2.0809,4.1619,1.2777,4.1619,4.1619,2.5554,4.1619,4.1619,1.2777,2.0809,4.1619,2.5554,4.1619,2.0809,2.5554,4.1619,4.1619,2.5554,4.1619,2.0809,1.2777,4.1619,2.0809
416,5.6406,1.1844,5.6406,2.8203,2.3688,2.8203,5.6406,1.1844,5.6406,2.8203,2.3688,2.8203,5.6406,2.3688,5.6406,5.6406,2.3688,5.6406,5.6406,1.1844,2.8203,5.6406,2.3688,5.6406,5.6406,1.1844,2.8203,2.8203,1.1844,5.6406,2.8203,1.1844,4.9355,4.9355,4.9355,9.871,9.871,9.871,2.0727,4.1454,2.0727,5.6406,2.8203,2.3688,5.6406,2.8203,1.1844,2.8203,2.8203,1.1844,5.6406,5.6406,4.4415,4.9355,4.9355,9.871,10.576,1.1844,5.6406,2.8203,2.3688,5.6406,5.6406,2.3688,14.807,9.871,9.871,5.6406,2.3688,5.6406,5.6406,1.1844,2.8203,5.6406,1.1844,5.6406,5.6406,2.3688,5.6406,5.6406,1.1844,2.8203,5.6406,2.3688,5.6406,2.8203,2.3688,5.6406,5.6406,2.3688,5.6406,2.8203,1.1844,5.6406,2.8203,4.1843,1.2742,4.1843,2.0922,2.5484,2.0922,4.1843,1.2742,4.1843,2.0922,2.5484,2.0922,4.1843,2.5484,4.1843,4.1843,2.5484,4.1843,4.1843,1.2742,2.0922,4.1843,2.5484,4.1843,4.1843,1.2742,2.0922,2.0922,1.2742,4.1843,2.0922,1.2742,5.2304,5.2304,5.2304,10.461,10.461,10.461,3.1855,6.371,2.5484,4.1843,2.0922,2.5484,4.1843,2.0922,1.2742,2.0922,2.0922,1.2742,4.1843,4.1843,4.4597,5.2304,5.2304,10.461,7.3225,1.2742,4.1843,2.0922,2.5484,4.1843,4.1843,2.5484,16.737,10.461,10.461,4.1843,2.5484,4.1843,4.1843,1.2742,2.0922,4.1843,1.2742,4.1843,4.1843,2.5484,4.1843,4.1843,1.2742,2.0922,4.1843,2.5484,4.1843,2.0922,2.5484,4.1843,4.1843,2.5484,4.1843,2.0922,1.2742,4.1843,2.0922
417,5.6436,1.1873,5.6436,2.8218,2.3747,2.8218,5.6436,1.1873,5.6436,2.8218,2.3747,2.8218,5.6436,2.3747,5.6436,5.6436,2.3747,5.6436,5.6436,1.1873,2.8218,5.6436,2.3747,5.6436,5.6436,1.1873,2.8218,2.8218,1.1873,5.6436,2.8218,1.1873,4.9382,4.9382,4.9382,9.8763,9.8763,9.8763,2.0778,4.1556,2.0778,5.6436,2.8218,2.3747,5.6436,2.8218,1.1873,2.8218,2.8218,1.1873,5.6436,5.6436,4.4525,4.9382,4.9382,9.8763,10.582,1.1873,5.6436,2.8218,2.3747,5.6436,5.6436,2.3747,14.814,9.8763,9.8763,5.6436,2.3747,5.6436,5.6436,1.1873,2.8218,5.6436,1.1873,5.6436,5.6436,2.3747,5.6436,5.6436,1.1873,2.8218,5.6436,2.3747,5.6436,2.8218,2.3747,5.6436,5.6436,2.3747,5.6436,2.8218,1.1873,5.6436,2.8218,4.2067,1.2861,4.2067,2.1034,2.5723,2.1034,4.2067,1.2861,4.2067,2.1034,2.5723,2.1034,4.2067,2.5723,4.2067,4.2067,2.5723,4.2067,4.2067,1.2861,2.1034,4.2067,2.5723,4.2067,4.2067,1.2861,2.1034,2.1034,1.2861,4.2067,2.1034,1.2861,5.2584,5.2584,5.2584,10.517,10.517,10.517,3.2153,6.4306,2.5723,4.2067,2.1034,2.5723,4.2067,2.1034,1.2861,2.1034,2.1034,1.2861,4.2067,4.2067,4.5014,5.2584,5.2584,10.517,7.3618,1.2861,4.2067,2.1034,2.5723,4.2067,4.2067,2.5723,16.827,10.517,10.517,4.2067,2.5723,4.2067,4.2067,1.2861,2.1034,4.2067,1.2861,4.2067,4.2067,2.5723,4.2067,4.2067,1.2861,2.1034,4.2067,2.5723,4.2067,2.1034,2.5723,4.2067,4.2067,2.5723,4.2067,2.1034,1.2861,4.2067,2.1034
418,5.6466,1.176,5.6466,2.8233,2.3521,2.8233,5.6466,1.176,5.6466,2.8233,2.3521,2.8233,5.6466,2.3521,5.6466,5.6466,2.3521,5.6466,5.6466,1.176,2.8233,5.6466,2.3521,5.6466,5.6466,1.176,2.8233,2.8233,1.176,5.6466,2.8233,1.176,4.9408,4.9408,4.9408,9.8816,9.8816,9.8816,2.0581,4.1162,2.0581,5.6466,2.8233,2.3521,5.6466,2.8233,1.176,2.8233,2.8233,1.176,5.6466,5.6466,4.4102,4.9408,4.9408,9.8816,10.587,1.176,5.6466,2.8233,2.3521,5.6466,5.6466,2.3521,14.822,9.8816,9.8816,5.6466,2.3521,5.6466,5.6466,1.176,2.8233,5.6466,1.176,5.6466,5.6466,2.3521,5.6466,5.6466,1.176,2.8233,5.6466,2.3521,5.6466,2.8233,2.3521,5.6466,5.6466,2.3521,5.6466,2.8233,1.176,5.6466,2.8233,4.2291,1.2909,4.2291,2.1146,2.5819,2.1146,4.2291,1.2909,4.2291,2.1146,2.5819,2.1146,4.2291,2.5819,4.2291,4.2291,2.5819,4.2291,4.2291,1.2909,2.1146,4.2291,2.5819,4.2291,4.2291,1.2909,2.1146,2.1146,1.2909,4.2291,2.1146,1.2909,5.2864,5.2864,5.2864,10.573,10.573,10.573,3.2274,6.4547,2.5819,4.2291,2.1146,2.5819,4.2291,2.1146,1.2909,2.1146,2.1146,1.2909,4.2291,4.2291,4.5183,5.2864,5.2864,10.573,7.401,1.2909,4.2291,2.1146,2.5819,4.2291,4.2291,2.5819,16.917,10.573,10.573,4.2291,2.5819,4.2291,4.2291,1.2909,2.1146,4.2291,1.2909,4.2291,4.2291,2.5819,4.2291,4.2291,1.2909,2.1146,4.2291,2.5819,4.2291,2.1146,2.5819,4.2291,4.2291,2.5819,4.2291,2.1146,1.2909,4.2291,2.1146
419,5.6496,1.1585,5.6496,2.8248,2.317,2.8248,5.6496,1.1585,5.6496,2.8248,2.317,2.8248,5.6496,2.317,5.6496,5.6496,2.317,5.6496,5.6496,1.1585,2.8248,5.6496,2.317,5.6496,5.6496,1.1585,2.8248,2.8248,1.1585,5.6496,2.8248,1.1585,4.9434,4.9434,4.9434,9.8868,9.8868,9.8868,2.0274,4.0548,2.0274,5.6496,2.8248,2.317,5.6496,2.8248,1.1585,2.8248,2.8248,1.1585,5.6496,5.6496,4.3444,4.9434,4.9434,9.8868,10.593,1.1585,5.6496,2.8248,2.317,5.6496,5.6496,2.317,14.83,9.8868,9.8868,5.6496,2.317,5.6496,5.6496,1.1585,2.8248,5.6496,1.1585,5.6496,5.6496,2.317,5.6496,5.6496,1.1585,2.8248,5.6496,2.317,5.6496,2.8248,2.317,5.6496,5.6496,2.317,5.6496,2.8248,1.1585,5.6496,2.8248,4.2516,1.2926,4.2516,2.1258,2.5853,2.1258,4.2516,1.2926,4.2516,2.1258,2.5853,2.1258,4.2516,2.5853,4.2516,4.2516,2.5853,4.2516,4.2516,1.2926,2.1258,4.2516,2.5853,4.2516,4.2516,1.2926,2.1258,2.1258,1.2926,4.2516,2.1258,1.2926,5.3145,5.3145,5.3145,10.629,10.629,10.629,3.2316,6.4632,2.5853,4.2516,2.1258,2.5853,4.2516,2.1258,1.2926,2.1258,2.1258,1.2926,4.2516,4.2516,4.5242,5.3145,5.3145,10.629,7.4402,1.2926,4.2516,2.1258,2.5853,4.2516,4.2516,2.5853,17.006,10.629,10.629,4.2516,2.5853,4.2516,4.2516,1.2926,2.1258,4.2516,1.2926,4.2516,4.2516,2.5853,4.2516,4.2516,1.2926,2.1258,4.2516,2.5853,4.2516,2.1258,2.5853,4.2516,4.2516,2.5853,4.2516,2.1258,1.2926,4.2516,2.1258
420,5.6526,1.2066,5.6526,2.8263,2.4133,2.8263,5.6526,1.2066,5.6526,2.8263,2.4133,2.8263,5.6526,2.4133,5.6526,5.6526,2.4133,5.6526,5.6526,1.2066,2.8263,5.6526,2.4133,5.6526,5.6526,1.2066,2.8263,2.8263,1.2066,5.6526,2.8263,1.2066,4.946,4.946,4.946,9.8921,9.8921,9.8921,2.1116,4.2232,2.1116,5.6526,2.8263,2.4133,5.6526,2.8263,1.2066,2.8263,2.8263,1.2066,5.6526,5.6526,4.5249,4.946,4.946,9.8921,10.599,1.2066,5.6526,2.8263,2.4133,5.6526,5.6526,2.4133,14.838,9.8921,9.8921,5.6526,2.4133,5.6526,5.6526,1.2066,2.8263,5.6526,1.2066,5.6526,5.6526,2.4133,5.6526,5.6526,1.2066,2.8263,5.6526,2.4133,5.6526,2.8263,2.4133,5.6526,5.6526,2.4133,5.6526,2.8263,1.2066,5.6526,2.8263,4.274,1.3272,4.274,2.137,2.6543,2.137,4.274,1.3272,4.274,2.137,2.6543,2.137,4.274,2.6543,4.274,4.274,2.6543,4.274,4.274,1.3272,2.137,4.274,2.6543,4.274,4.274,1.3272,2.137,2.137,1.3272,4.274,2.137,1.3272,5.3425,5.3425,5.3425,10.685,10.685,10.685,3.3179,6.6358,2.6543,4.274,2.137,2.6543,4.274,2.137,1.3272,2.137,2.137,1.3272,4.274,4.274,4.645,5.3425,5.3425,10.685,7.4795,1.3272,4.274,2.137,2.6543,4.274,4.274,2.6543,17.096,10.685,10.685,4.274,2.6543,4.274,4.274,1.3272,2.137,4.274,1.3272,4.274,4.274,2.6543,4.274,4.274,1.3272,2.137,4.274,2.6543,4.274,2.137,2.6543,4.274,4.274,2.6543,4.274,2.137,1.3272,4.274,2.137
421,5.6556,1.1981,5.6556,2.8278,2.3963,2.8278,5.6556,1.1981,5.6556,2.8278,2.3963,2.8278,5.6556,2.3963,5.6556,5.6556,2.3963,5.6556,5.6556,1.1981,2.8278,5.6556,2.3963,5.6556,5.6556,1.1981,2.8278,2.8278,1.1981,5.6556,2.8278,1.1981,4.9487,4.9487,4.9487,9.8973,9.8973,9.8973,2.0967,4.1935,2.0967,5.6556,2.8278,2.3963,5.6556,2.8278,1.1981,2.8278,2.8278,1.1981,5.6556,5.6556,4.493,4.9487,4.9487,9.8973,10.604,1.1981,5.6556,2.8278,2.3963,5.6556,5.6556,2.3963,14.846,9.8973,9.8973,5.6556,2.3963,5.6556,5.6556,1.1981,2.8278,5.6556,1.1981,5.6556,5.6556,2.3963,5.6556,5.6556,1.1981,2.8278,5.6556,2.3963,5.6556,2.8278,2.3963,5.6556,5.6556,2.3963,5.6556,2.8278,1.1981,5.6556,2.8278,4.2964,1.3334,4.2964,2.1482,2.6667,2.1482,4.2964,1.3334,4.2964,2.1482,2.6667,2.1482,4.2964,2.6667,4.2964,4.2964,2.6667,4.2964,4.2964,1.3334,2.1482,4.2964,2.6667,4.2964,4.2964,1.3334,2.1482,2.1482,1.3334,4.2964,2.1482,1.3334,5.3705,5.3705,5.3705,10.741,10.741,10.741,3.3334,6.6668,2.6667,4.2964,2.1482,2.6667,4.2964,2.1482,1.3334,2.1482,2.1482,1.3334,4.2964,4.2964,4.6668,5.3705,5.3705,10.741,7.5187,1.3334,4.2964,2.1482,2.6667,4.2964,4.2964,2.6667,17.186,10.741,10.741,4.2964,2.6667,4.2964,4.2964,1.3334,2.1482,4.2964,1.3334,4.2964,4.2964,2.6667,4.2964,4.2964,1.3334,2.1482,4.2964,2.6667,4.2964,2.1482,2.6667,4.2964,4.2964,2.6667,4.2964,2.1482,1.3334,4.2964,2.1482
422,5.6951,1.1967,5.6951,2.8475,2.3934,2.8475,5.6951,1.1967,5.6951,2.8475,2.3934,2.8475,5.6951,2.3934,5.6951,5.6951,2.3934,5.6951,5.6951,1.1967,2.8475,5.6951,2.3934,5.6951,5.6951,1.1967,2.8475,2.8475,1.1967,5.6951,2.8475,1.1967,4.9832,4.9832,4.9832,9.9664,9.9664,9.9664,2.0942,4.1884,2.0942,5.6951,2.8475,2.3934,5.6951,2.8475,1.1967,2.8475,2.8475,1.1967,5.6951,5.6951,4.4876,4.9832,4.9832,9.9664,10.678,1.1967,5.6951,2.8475,2.3934,5.6951,5.6951,2.3934,14.95,9.9664,9.9664,5.6951,2.3934,5.6951,5.6951,1.1967,2.8475,5.6951,1.1967,5.6951,5.6951,2.3934,5.6951,5.6951,1.1967,2.8475,5.6951,2.3934,5.6951,2.8475,2.3934,5.6951,5.6951,2.3934,5.6951,2.8475,1.1967,5.6951,2.8475,4.3188,1.334,4.3188,2.1594,2.668,2.1594,4.3188,1.334,4.3188,2.1594,2.668,2.1594,4.3188,2.668,4.3188,4.3188,2.668,4.3188,4.3188,1.334,2.1594,4.3188,2.668,4.3188,4.3188,1.334,2.1594,2.1594,1.334,4.3188,2.1594,1.334,5.3985,5.3985,5.3985,10.797,10.797,10.797,3.3349,6.6699,2.668,4.3188,2.1594,2.668,4.3188,2.1594,1.334,2.1594,2.1594,1.334,4.3188,4.3188,4.6689,5.3985,5.3985,10.797,7.5579,1.334,4.3188,2.1594,2.668,4.3188,4.3188,2.668,17.275,10.797,10.797,4.3188,2.668,4.3188,4.3188,1.334,2.1594,4.3188,1.334,4.3188,4.3188,2.668,4.3188,4.3188,1.334,2.1594,4.3188,2.668,4.3188,2.1594,2.668,4.3188,4.3188,2.668,4.3188,2.1594,1.334,4.3188,2.1594
423,5.7345,1.1901,5.7345,2.8673,2.3801,2.8673,5.7345,1.1901,5.7345,2.8673,2.3801,2.8673,5.7345,2.3801,5.7345,5.7345,2.3801,5.7345,5.7345,1.1901,2.8673,5.7345,2.3801,5.7345,5.7345,1.1901,2.8673,2.8673,1.1901,5.7345,2.8673,1.1901,5.0177,5.0177,5.0177,10.035,10.035,10.035,2.0826,4.1652,2.0826,5.7345,2.8673,2.3801,5.7345,2.8673,1.1901,2.8673,2.8673,1.1901,5.7345,5.7345,4.4627,5.0177,5.0177,10.035,10.752,1.1901,5.7345,2.8673,2.3801,5.7345,5.7345,2.3801,15.053,10.035,10.035,5.7345,2.3801,5.7345,5.7345,1.1901,2.8673,5.7345,1.1901,5.7345,5.7345,2.3801,5.7345,5.7345,1.1901,2.8673,5.7345,2.3801,5.7345,2.8673,2.3801,5.7345,5.7345,2.3801,5.7345,2.8673,1.1901,5.7345,2.8673,4.3412,1.332,4.3412,2.1706,2.664,2.1706,4.3412,1.332,4.3412,2.1706,2.664,2.1706,4.3412,2.664,4.3412,4.3412,2.664,4.3412,4.3412,1.332,2.1706,4.3412,2.664,4.3412,4.3412,1.332,2.1706,2.1706,1.332,4.3412,2.1706,1.332,5.4265,5.4265,5.4265,10.853,10.853,10.853,3.33,6.66,2.664,4.3412,2.1706,2.664,4.3412,2.1706,1.332,2.1706,2.1706,1.332,4.3412,4.3412,4.662,5.4265,5.4265,10.853,7.5971,1.332,4.3412,2.1706,2.664,4.3412,4.3412,2.664,17.365,10.853,10.853,4.3412,2.664,4.3412,4.3412,1.332,2.1706,4.3412,1.332,4.3412,4.3412,2.664,4.3412,4.3412,1.332,2.1706,4.3412,2.664,4.3412,2.1706,2.664,4.3412,4.3412,2.664,4.3412,2.1706,1.332,4.3412,2.1706
